CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
625,397,334,278,79,69,117,99
684,333,360,266,71,73,136,75
589,355,366,298,113,74,108,96
658,349,347,297,68,71,127,81
679,298,346,264,95,97,132,86
634,358,350,260,75,125,119,78
655,351,347,304,76,79,108,78
600,341,409,306,82,85,99,75
697,302,347,307,80,95,110,60
681,365,338,251,73,87,114,88
686,323,369,275,80,79,118,68
618,362,361,308,84,82,106,78
686,333,360,246,99,85,115,73
638,355,364,291,107,62,99,84
660,346,348,299,67,77,119,83
627,399,374,257,87,62,121,71
663,343,370,266,59,64,146,86
618,348,367,317,86,71,138,54
622,360,340,342,80,70,116,68
656,350,372,283,82,75,99,81
595,372,373,276,89,79,130,84
632,361,333,300,64,72,150,86
673,349,347,313,84,67,103,61
628,354,358,271,99,93,120,74
613,385,330,303,103,81,94,89
683,332,318,264,96,70,136,99
631,336,349,289,85,78,127,103
665,332,349,309,90,72,108,73
661,304,394,296,97,81,93,71
675,318,385,277,74,61,119,89
616,348,401,267,87,87,112,80
661,329,328,282,100,104,113,80
632,341,348,335,67,70,125,79
670,345,353,257,107,64,126,76
609,349,349,295,95,66,158,77
693,331,330,272,67,85,138,83
675,324,334,312,68,80,115,89
666,343,322,297,75,71,129,95
674,332,369,295,91,59,96,81
670,350,355,260,68,75,126,93
664,285,325,346,109,74,120,74
643,339,398,272,74,67,108,96
659,358,326,253,118,77,122,85
634,364,408,271,92,64,104,62
632,312,392,299,66,104,92,101
603,357,378,300,82,72,109,98
656,370,314,252,101,93,111,100
656,331,359,293,81,74,142,62
635,347,371,278,82,55,126,105
650,388,368,288,80,73,81,69
582,401,350,317,99,79,110,60
630,312,378,317,74,66,122,99
618,341,327,335,88,93,117,80
577,368,392,290,91,66,134,81
656,355,329,288,93,75,115,87
602,414,347,266,101,82,102,85
654,382,362,256,56,91,115,82
652,336,359,260,101,102,115,73
643,373,323,302,60,95,118,85
642,341,342,307,90,84,117,76
639,375,347,273,86,92,103,82
600,360,362,299,92,62,151,71
635,351,343,251,82,103,146,88
643,353,358,290,95,53,113,94
607,360,346,294,94,89,119,89
656,336,344,299,83,87,120,74
660,343,339,297,68,74,132,85
697,353,313,255,96,77,124,83
670,281,367,286,92,105,108,90
659,331,323,285,93,88,143,78
678,321,355,283,83,81,112,84
641,367,349,258,104,70,126,82
687,322,358,274,85,80,113,78
633,380,326,277,84,77,135,87
589,390,325,300,84,82,142,84
636,350,377,230,80,78,165,80
641,315,383,268,100,77,124,91
681,359,311,282,74,82,115,93
600,363,375,286,97,66,138,74
643,354,316,306,111,63,130,74
691,329,347,278,84,52,126,91
607,374,370,274,94,81,147,51
636,387,361,248,82,88,131,65
656,295,372,290,95,93,105,92
636,379,367,273,65,93,139,46
646,355,380,271,81,76,139,51
