CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
324,179,167,141,41,43,60,45
292,161,185,174,44,37,72,35
303,177,183,147,48,40,59,43
301,186,178,163,33,40,63,36
325,185,158,153,28,45,64,42
309,166,186,148,48,44,51,48
311,177,159,153,49,44,55,52
314,192,182,139,33,32,69,39
309,169,187,137,48,48,59,43
312,169,177,157,41,39,66,39
333,176,170,137,46,39,51,48
321,167,167,139,53,41,79,33
316,168,185,141,48,36,61,45
294,183,188,149,42,44,56,44
324,155,173,157,43,38,49,61
288,175,177,166,46,36,67,45
294,166,190,154,46,39,63,48
327,183,183,122,50,41,52,42
322,187,178,124,38,38,64,49
293,165,181,158,44,36,68,55
334,172,183,136,47,33,55,40
300,180,155,168,34,56,71,36
307,153,184,147,53,40,72,44
296,144,186,164,49,50,64,47
309,199,163,148,33,41,68,39
322,178,167,135,53,44,63,38
322,172,162,146,40,34,75,49
312,183,181,140,34,41,71,38
351,154,174,140,47,36,57,41
300,185,168,159,45,35,67,41
315,171,162,166,35,35,70,46
308,179,175,133,53,43,63,46
309,152,187,152,46,45,66,43
302,177,184,158,36,41,59,43
316,186,190,135,44,31,59,39
335,148,175,158,45,37,61,41
315,198,175,130,43,34,70,35
320,169,191,132,50,36,58,44
314,170,170,143,44,44,76,39
310,156,172,162,44,43,70,43
311,177,175,148,50,35,58,46
320,154,183,158,38,44,62,41
307,162,191,151,34,45,62,48
325,171,172,142,46,39,74,31
322,176,157,141,47,43,63,51
319,184,150,157,39,43,62,46
301,179,176,154,50,36,64,40
340,165,159,146,45,42,62,41
290,190,194,139,27,41,73,46
332,178,173,132,36,39,75,35
344,184,144,140,54,37,59,38
316,183,196,122,33,40,65,45
299,182,168,144,48,45,65,49
315,172,172,157,42,44,68,30
310,167,192,144,36,45,57,49
327,164,187,167,30,33,67,25
283,188,174,163,43,42,65,42
291,157,189,157,39,46,80,41
319,199,157,151,36,30,59,49
331,179,183,132,42,40,49,44
324,172,188,144,33,41,62,36
304,182,165,151,44,37,77,40
298,176,181,155,32,43,76,39
312,186,157,143,51,46,59,46
315,155,168,158,51,44,68,41
300,196,192,130,49,36,58,39
330,164,164,148,48,43,57,46
325,185,165,143,37,46,56,43
320,175,175,146,44,28,62,50
318,177,177,135,49,41,65,38
312,188,178,139,42,43,58,40
306,190,175,141,44,43,64,37
313,178,174,155,36,45,64,35
273,171,197,170,45,37,64,43
341,175,165,128,41,40,66,44
278,201,181,145,43,42,71,39
302,183,172,166,40,38,61,38
304,174,164,157,45,37,72,47
336,177,173,146,37,26,74,31
307,174,171,152,34,38,77,47
319,183,177,128,35,30,75,53
339,175,175,139,41,39,63,29
326,149,173,158,40,38,67,49
310,176,172,151,34,40,55,62
339,178,160,147,35,35,66,40
307,165,181,150,46,37,68,46
328,186,182,133,40,26,64,41
323,186,178,138,42,30,64,39
325,169,171,144,46,35,75,35
325,173,171,142,43,44,67,35
305,183,182,147,44,36,63,40
284,170,189,142,56,41,77,41
301,181,185,158,43,42,55,35
305,187,179,138,34,37,69,51
349,156,192,141,37,26,55,44
307,179,177,151,42,46,62,36
339,156,188,144,41,43,53,36
317,179,185,133,35,46,70,35
324,184,171,136,36,37,76,36
284,183,174,164,49,37,69,40
314,181,187,135,37,41,75,30
296,187,189,132,43,46,63,44
314,149,175,164,42,46,66,44
300,174,185,163,34,38,65,41
313,160,176,156,39,38,72,46
318,165,182,149,34,44,62,46
326,179,166,153,36,35,68,37
300,182,190,142,50,26,60,50
324,165,174,155,31,46,64,41
293,166,180,164,45,40,66,46
322,179,170,142,40,45,58,44
318,176,181,137,39,52,54,43
340,161,177,132,34,39,75,42
324,173,184,147,43,38,52,39
273,197,174,152,68,32,63,41
334,160,180,138,41,35,59,53
303,171,181,151,50,29,63,52
300,188,182,158,38,38,53,43
310,180,192,134,35,42,67,40
319,176,206,151,36,30,51,31
332,161,173,141,39,40,66,48
312,182,166,147,43,38,77,35
339,173,167,138,35,42,59,47
307,193,179,134,36,45,69,37
330,168,178,156,49,22,63,34
323,178,165,153,42,34,65,40
310,178,165,151,39,36,73,48
284,180,200,143,49,35,65,44
314,175,182,153,52,31,54,39
305,163,177,170,42,35,68,40
304,193,169,151,48,44,60,31
309,189,187,131,51,31,66,36
303,173,188,131,35,54,64,52
314,168,201,142,40,39,51,45
323,183,179,140,45,37,57,36
314,176,193,133,36,43,65,40
314,181,185,145,45,32,54,44
317,179,188,140,44,43,49,40
302,169,170,164,39,44,59,53
288,186,192,131,52,42,60,49
290,186,185,155,38,45,62,39
321,171,162,146,44,44,66,46
316,169,182,150,42,43,56,42
319,177,204,132,40,33,63,32
327,155,169,162,40,44,68,35
319,184,171,134,46,39,60,47
306,173,183,149,36,43,60,50
308,185,172,142,46,45,66,36
298,162,171,162,47,46,76,38
299,171,191,151,54,52,49,33
310,158,202,156,41,32,60,41
287,173,187,163,38,37,66,49
302,173,178,144,42,33,76,52
289,163,195,150,52,42,67,42
314,176,169,151,44,44,68,34
300,183,181,137,45,38,65,51
315,161,201,138,41,46,56,42
307,190,183,133,29,42,65,51
311,158,187,150,40,38,74,42
293,193,171,164,45,41,60,33
324,184,190,129,39,31,69,34
