CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
313,152,186,144,48,48,63,46
338,143,190,139,52,36,65,37
329,146,187,136,51,37,67,47
328,142,178,151,50,36,65,49
316,138,204,153,39,43,62,44
338,135,187,153,33,37,64,52
323,154,197,156,35,34,62,40
341,140,189,147,25,40,69,49
316,146,188,152,48,41,69,41
343,130,166,153,54,37,69,48
328,142,177,143,46,41,72,52
308,144,196,154,42,40,67,50
331,149,196,130,53,41,61,37
335,142,177,132,47,42,73,53
311,142,185,159,47,39,72,46
318,141,190,153,47,47,59,44
331,147,177,157,41,39,57,52
334,142,182,155,43,40,63,42
337,139,180,149,49,42,64,41
323,146,173,146,49,46,81,36
327,157,178,145,44,42,68,39
323,141,189,154,40,40,65,48
340,132,203,142,50,31,58,44
354,138,181,136,48,37,63,44
312,138,184,171,46,41,68,41
335,134,173,169,54,42,65,28
311,143,202,152,44,40,56,52
329,141,179,151,42,41,74,43
330,147,189,140,48,44,60,42
324,146,179,157,42,37,65,51
328,146,186,144,44,43,71,38
348,134,173,158,30,43,68,46
339,143,182,151,42,41,60,42
350,139,167,146,60,43,66,31
310,163,185,137,61,42,67,35
314,140,194,158,47,43,61,43
318,149,182,165,45,32,70,39
326,137,173,162,50,42,68,42
328,146,189,155,36,40,65,42
315,153,175,171,42,38,61,46
330,135,192,151,44,33,68,47
323,140,185,148,45,40,72,47
321,143,198,135,42,45,65,51
317,141,183,161,39,46,68,45
325,149,184,142,45,42,68,44
321,141,180,162,42,36,65,52
314,140,190,156,36,51,62,51
315,145,189,152,42,39,65,53
328,144,180,146,42,41,75,44
320,146,174,151,49,43,66,50
321,142,185,142,48,45,66,50
337,147,191,140,44,43,65,34
321,150,173,154,41,45,75,42
333,148,178,139,51,41,62,48
328,138,179,149,52,33,77,45
326,160,185,139,45,43,69,32
331,135,196,147,46,40,64,42
336,140,173,155,37,41,68,49
321,144,182,164,47,40,62,41
323,148,165,154,51,44,67,47
294,153,215,150,36,36,61,57
332,145,184,151,41,35,73,39
320,155,180,140,57,48,60,40
346,141,179,124,45,48,60,57
331,145,179,148,37,36,73,51
338,137,189,150,45,37,67,37
321,142,173,159,52,47,72,34
322,139,200,149,45,40,68,36
320,155,180,152,37,43,67,46
327,130,189,153,46,50,63,42
335,144,202,137,39,43,70,30
320,148,186,135,56,37,69,50
324,130,197,149,43,41,61,54
315,153,198,145,44,40,56,49
338,137,178,161,38,39,66,42
323,143,173,156,53,40,74,40
330,145,176,158,32,40,72,48
326,146,189,145,48,39,57,49
318,155,189,141,42,38,61,56
319,141,195,154,43,38,63,47
336,151,181,141,40,36,71,45
322,150,188,135,51,42,65,46
328,145,187,152,47,44,62,35
339,141,202,127,50,36,60,44
335,137,189,134,49,37,60,60
344,122,188,162,35,43,67,38
324,157,175,152,46,38,66,43
321,145,174,157,49,44,70,40
331,135,177,160,49,42,69,35
321,150,190,142,53,44,62,38
326,149,179,144,49,36,67,49
328,147,183,152,46,39,62,45
321,147,182,160,39,39,67,44
336,149,182,141,45,41,67,39
329,143,187,147,43,42,60,49
332,138,184,149,41,46,58,52
322,151,178,136,61,41,65,47
334,131,194,155,40,42,62,43
331,144,182,153,49,39,70,32
333,146,199,137,40,39,68,39
342,140,191,145,28,37,59,58
338,142,179,140,46,44,71,39
335,150,179,143,45,48,64,38
342,135,175,155,49,40,70,34
327,160,172,150,50,40,57,44
315,156,176,153,48,40,65,47
330,145,191,145,35,40,68,46
340,130,196,151,44,40,64,35
318,161,184,141,49,39,57,50
324,139,212,142,50,40,59,34
328,143,183,142,51,38,68,48
337,146,185,130,48,46,67,40
320,144,186,135,47,41,65,62
327,141,181,161,39,35,70,46
308,149,186,147,48,42,71,49
310,148,197,146,38,41,66,55
344,146,174,147,37,41,63,46
322,127,197,152,47,44,66,44
323,142,191,155,37,38,66,49
323,148,187,148,48,42,64,40
320,145,178,152,59,36,66,45
315,142,176,159,43,47,71,47
344,133,196,141,51,36,60,39
351,142,185,145,41,43,64,29
328,136,187,156,41,42,60,50
315,143,197,155,42,43,65,38
329,140,194,147,46,37,67,38
334,145,190,130,44,43,66,48
334,152,182,143,47,39,60,43
329,147,170,144,46,40,73,53
337,146,162,133,58,43,68,53
320,148,187,156,40,38,67,43
326,141,197,158,36,41,57,43
319,164,178,136,50,44,63,46
326,145,204,132,52,40,74,29
325,145,188,148,45,43,56,50
324,147,175,156,45,48,62,43
334,129,172,158,52,43,70,42
325,137,185,155,48,42,67,40
329,143,189,152,40,30,66,52
317,143,190,143,55,40,71,42
318,145,179,155,44,38,67,56
323,133,196,171,33,38,62,43
325,141,188,150,37,49,60,51
329,152,186,146,36,43,64,45
315,148,194,146,40,45,67,45
332,143,193,144,54,38,57,38
304,149,184,151,52,45,57,58
335,135,176,158,44,33,63,55
332,147,172,140,54,41,73,41
340,125,192,150,56,36,63,37
319,139,189,152,51,44,61,45
342,153,161,149,40,45,75,34
322,137,188,165,46,38,69,35
337,134,170,162,48,39,66,43
317,147,186,156,40,41,68,46
314,145,198,161,39,41,65,37
318,144,185,157,49,41,67,40
318,145,195,153,43,42,59,45
337,138,192,138,42,39,67,48
346,130,183,148,55,40,59,38
321,152,167,151,46,38,82,43
316,159,184,150,41,34,65,51
342,130,179,156,53,42,63,34
303,146,201,170,40,36,56,49
329,142,178,143,52,47,62,48
331,143,183,135,58,47,70,33
330,150,177,146,37,38,68,54
324,136,199,140,48,37,63,53
339,129,179,145,51,39,67,52
332,145,192,147,47,35,61,42
310,153,183,152,43,46,68,45
319,153,193,140,35,51,66,45
332,139,176,153,42,43,69,47
325,134,182,162,39,48,64,46
331,147,197,147,38,41,60,38
316,142,180,167,43,39,60,51
313,143,180,161,45,39,65,54
331,141,189,142,48,39,75,35
310,143,189,166,48,38,68,37
320,151,197,135,48,44,56,49
324,136,188,158,45,39,63,46
331,143,189,151,41,42,58,46
328,140,173,165,36,42,74,41
337,153,165,147,49,39,71,40
328,150,183,144,50,42,67,37
338,146,187,130,42,40,69,47
322,150,190,150,45,31,68,44
325,144,182,151,37,43,75,43
327,134,180,168,40,43,70,37
324,137,195,150,42,46,64,42
294,149,179,176,39,49,71,42
336,140,186,142,46,40,69,41
329,147,182,158,39,38,65,42
319,147,178,157,53,36,58,52
314,146,187,167,40,39,62,45
315,149,176,149,51,36,68,56
329,143,181,157,35,44,60,51
337,156,181,134,37,42,63,51
326,158,187,147,45,35,64,38
332,139,172,150,58,39,71,38
324,148,199,129,51,42,67,41
321,151,178,155,52,38,69,36
327,152,184,157,46,37,61,36
321,139,179,154,39,50,68,51
319,139,179,176,36,37,73,41
316,152,176,163,43,38,66,46
315,154,174,145,51,40,66,56
319,146,189,147,49,36,61,54
326,147,176,166,37,41,68,39
343,135,182,141,46,38,68,47
317,136,180,147,57,46,72,45
324,145,181,147,56,39,63,46
343,143,183,140,44,41,67,40
321,159,190,143,40,41,58,49
315,155,173,158,46,45,63,44
312,146,174,154,43,43,68,59
327,143,199,160,29,33,64,45
325,142,181,144,42,45,64,57
333,137,180,159,49,37,69,36
338,131,191,145,39,42,68,46
320,147,184,141,62,37,69,41
322,137,187,162,42,42,68,40
312,151,193,162,35,35,68,44
323,151,188,147,42,35,71,44
300,157,191,151,51,42,73,35
319,147,181,153,51,41,60,48
342,137,190,147,35,41,66,41
314,138,199,160,33,38,73,45
315,146,208,153,38,35,69,36
321,149,185,145,50,40,61,48
306,142,197,158,51,45,64,37
319,150,183,157,41,41,64,44
341,151,180,147,43,35,66,36
332,139,176,151,45,39,75,42
342,131,205,147,39,41,51,43
322,140,195,153,41,39,67,42
318,137,203,144,53,36,63,45
333,133,189,138,60,31,68,47
335,137,185,147,41,38,74,42
328,141,185,145,52,44,64,42
330,143,182,163,39,39,65,39
301,143,174,184,41,36,67,54
324,146,188,143,50,46,63,40
326,136,184,150,44,46,65,49
327,131,180,160,54,39,66,42
323,135,191,162,33,39,70,47
325,140,188,151,39,40,63,53
322,134,209,152,47,43,54,39
321,147,185,149,42,44,68,44
324,152,191,155,44,35,64,35
336,142,171,148,40,48,67,49
315,149,179,131,49,42,80,55
326,142,188,144,45,35,70,49
313,143,192,165,42,41,67,37
349,128,186,151,38,36,63,49
315,156,191,138,49,43,63,45
334,154,185,126,49,39,63,49
324,145,182,152,34,37,75,51
313,156,182,163,44,42,60,40
323,144,187,144,43,42,70,46
328,151,186,146,46,40,60,45
335,149,184,126,46,43,64,54
322,142,204,147,38,33,63,51
316,150,183,170,37,37,55,52
314,154,192,153,42,42,58,45
340,134,169,140,51,42,73,51
326,132,196,150,44,41,64,47
343,137,185,148,40,42,65,42
328,143,187,138,49,48,64,42
324,144,185,142,41,39,73,53
317,146,191,147,49,43,62,44
338,135,191,147,42,47,65,36
319,145,188,150,47,35,72,44
313,153,191,163,38,36,66,39
335,137,192,158,41,35,59,42
317,132,200,140,54,38,71,48
321,129,179,167,38,40,66,59
313,144,190,148,43,45,68,48
335,135,187,151,34,40,65,53
325,143,177,158,47,43,59,48
332,157,183,136,36,47,65,44
331,147,187,135,47,44,67,43
322,149,191,150,47,42,65,34
317,147,185,161,40,45,62,44
309,144,190,162,51,39,65,40
319,142,171,156,49,40,73,50
310,149,190,148,52,36,66,50
320,146,213,147,28,42,61,43
329,132,195,149,38,42,64,51
326,145,174,160,38,39,58,59
324,142,188,155,48,43,65,36
312,148,193,144,46,47,67,43
335,137,193,135,41,46,66,46
312,152,182,167,46,40,58,42
325,161,174,139,44,36,79,42
310,146,195,160,41,42,60,45
323,137,186,149,49,38,63,55
325,141,201,143,39,46,58,47
333,130,198,153,36,42,68,40
333,137,187,137,58,37,58,53
331,142,184,152,48,39,60,44
335,140,184,148,43,43,61,47
320,149,181,143,43,40,68,56
329,132,183,157,42,39,68,50
342,136,195,126,48,35,71,47
315,158,180,139,56,40,66,46
350,137,183,136,49,41,64,41
345,124,182,144,54,39,62,51
333,144,165,149,51,44,78,36
334,133,199,145,34,45,62,48
333,139,192,156,41,39,65,34
332,129,188,165,42,35,68,42
336,130,193,157,36,41,67,41
311,161,183,152,48,40,67,40
325,144,188,146,51,41,59,46
332,140,188,147,45,47,61,39
310,160,186,160,32,43,63,48
330,143,175,150,51,39,61,51
317,149,185,146,50,38,65,51
321,138,186,165,38,39,69,44
336,136,199,129,50,40,62,48
319,144,188,145,47,43,56,57
338,135,181,162,37,38,59,49
