CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
411,245,798,251,65,54,95,78
422,270,778,251,64,58,84,71
449,291,714,210,73,71,128,63
431,218,786,239,62,65,127,70
426,258,791,223,54,62,109,75
377,280,755,259,81,71,104,70
441,266,783,231,70,49,109,49
462,276,744,240,74,48,90,65
430,243,793,267,65,60,98,42
427,292,719,212,95,81,87,86
450,254,759,230,70,56,103,78
423,259,771,233,61,83,108,60
410,261,811,194,84,82,98,57
428,278,740,233,85,64,106,64
425,274,786,214,64,59,108,66
436,250,756,246,74,70,98,69
452,284,712,238,88,73,94,59
473,250,736,232,65,66,118,58
442,328,622,249,61,84,133,78
454,266,773,212,61,59,97,77
460,263,718,236,82,74,116,49
426,265,736,210,75,68,139,78
441,279,711,263,70,67,99,68
435,306,751,216,74,67,83,66
478,256,723,215,100,58,101,66
487,240,752,245,61,57,98,58
451,273,739,226,60,94,85,69
438,257,785,238,69,55,78,77
431,248,730,263,82,72,104,69
492,252,753,214,52,65,111,60
448,224,719,266,82,84,105,70
428,287,737,208,77,82,108,71
441,242,761,247,65,69,114,60
480,268,739,222,69,55,98,67
378,269,752,322,54,51,100,72
433,291,733,215,69,89,102,66
427,220,795,241,64,64,107,81
443,260,778,226,74,57,91,69
432,272,754,231,72,75,99,62
449,300,722,233,76,45,110,63
436,234,748,287,72,45,104,72
486,251,720,225,87,62,90,76
464,227,758,225,85,52,115,71
415,255,719,336,49,51,106,67
419,277,743,237,77,68,106,70
432,246,804,231,64,51,93,77
504,257,720,274,56,41,84,63
438,276,761,230,66,53,111,63
434,233,749,223,76,102,120,60
448,252,730,233,66,65,122,82
456,241,735,264,91,55,87,71
478,276,727,203,102,46,93,72
371,270,766,234,110,82,95,69
487,301,685,249,65,55,106,51
423,275,734,253,62,60,102,90
428,229,721,225,68,93,158,76
460,292,718,208,60,57,115,88
424,241,706,293,84,64,115,71
444,255,700,256,80,90,107,67
474,245,744,224,65,65,123,58
496,250,722,228,41,69,114,78
450,298,729,222,65,48,113,73
457,241,734,293,81,46,93,52
409,231,790,238,69,73,119,68
437,247,725,247,77,66,113,86
422,278,793,222,65,57,101,59
426,259,770,262,59,48,109,64
489,248,727,238,67,68,92,69
437,250,769,215,74,82,106,65
441,257,725,267,80,56,91,81
430,273,742,249,60,50,129,66
447,249,726,312,52,35,120,57
436,246,831,216,61,61,89,58
440,263,751,274,56,57,97,61
458,252,762,260,50,58,94,65
390,323,683,270,86,62,102,83
520,237,689,228,90,63,110,61
455,278,726,266,69,59,95,50
452,282,691,235,103,68,109,57
495,267,653,265,62,69,123,65
457,286,687,258,72,106,82,49
454,270,615,261,64,168,100,66
422,259,767,238,55,85,100,73
367,279,806,219,86,84,100,58
404,245,791,257,72,82,99,48
476,235,762,206,70,58,129,62
478,268,725,220,54,80,102,72
434,242,779,225,55,77,95,91
419,250,725,253,106,73,114,58
442,258,742,235,106,43,93,80
461,227,767,212,77,64,113,75
441,271,761,227,76,64,102,56
421,233,784,245,64,57,115,80
427,305,687,251,59,77,118,73
434,254,733,241,85,58,111,82
452,245,780,225,57,79,98,63
426,244,775,243,77,52,114,66
470,249,740,249,45,63,106,76
438,335,687,229,66,98,97,49
477,264,749,206,63,77,102,60
432,255,689,263,112,66,106,74
448,274,739,278,48,58,104,51
476,263,725,258,54,57,112,53
537,237,679,272,60,54,97,62
443,259,775,251,72,59,86,53
409,266,794,237,69,53,106,63
422,276,729,263,54,70,118,67
388,250,796,272,61,54,104,74
432,289,770,222,69,51,102,64
451,262,715,262,70,56,93,89
414,265,767,245,95,55,94,62
431,256,696,257,64,121,110,63
464,275,746,258,62,50,88,54
426,249,762,252,76,56,105,71
442,260,762,254,53,55,102,69
446,262,787,250,53,53,96,51
466,263,699,264,70,63,96,77
425,327,699,242,69,78,108,51
420,284,518,255,55,57,112,67
524,274,651,217,71,64,118,77
479,238,738,234,72,66,99,72
419,262,753,244,87,79,96,60
437,287,759,239,54,63,109,48
451,262,775,221,50,53,111,75
423,259,738,280,61,56,108,73
488,327,672,259,46,57,93,57
479,202,773,243,63,68,100,70
440,277,773,247,50,52,79,80
476,232,693,276,69,62,118,72
435,243,759,239,89,52,101,79
429,284,759,237,56,42,129,62
430,293,721,239,79,81,76,79
479,268,698,261,63,60,112,57
424,263,743,237,105,52,111,62
463,247,781,221,62,50,106,67
440,270,743,251,81,59,88,66
454,288,692,250,78,57,112,66
413,284,734,245,73,52,111,86
479,241,733,221,87,52,109,75
438,321,680,243,66,56,114,79
429,278,726,259,94,58,93,62
457,304,721,209,64,65,115,63
464,294,724,234,70,48,110,53
455,279,713,291,79,48,78,57
488,245,673,302,58,67,93,73
408,256,777,279,76,58,96,48
420,277,779,246,85,49,90,52
501,248,695,266,67,71,87,63
444,266,713,251,91,48,115,70
462,283,669,284,79,73,92,56
443,267,765,229,66,58,92,78
481,270,740,239,43,65,102,59
423,232,794,228,77,70,99,75
478,260,733,236,57,55,112,68
459,236,784,235,63,41,97,81
451,286,693,245,65,66,120,71
445,284,736,227,67,68,106,65
442,271,754,246,63,41,104,77
416,280,745,223,107,48,121,58
418,293,689,271,96,66,90,75
456,249,723,240,79,70,99,81
426,285,722,253,81,79,88,64
447,294,773,200,84,67,88,44
478,271,734,212,65,51,130,56
489,251,726,233,82,55,93,69
461,244,758,233,70,69,94,68
428,255,826,211,70,49,96,63
380,280,769,218,62,81,116,92
457,234,751,215,102,63,104,72
476,284,670,275,46,63,110,73
460,248,772,233,62,59,99,63
430,248,764,249,79,41,127,61
415,245,759,274,75,61,104,65
430,297,699,276,66,47,104,80
437,264,777,217,76,64,107,56
493,233,757,224,71,62,93,65
440,261,763,222,50,81,96,85
463,232,801,214,67,50,93,79
432,246,768,257,56,54,107,79
494,241,788,200,50,47,104,76
458,250,537,232,74,65,82,71
406,309,687,249,67,94,98,88
419,283,746,232,91,55,100,71
412,250,759,242,64,65,138,69
446,236,774,233,59,63,96,91
399,300,781,250,69,61,91,47
423,272,790,222,64,51,106,70
440,284,709,243,95,54,121,52
502,282,710,231,77,46,90,59
446,255,754,211,94,60,114,64
459,238,800,231,73,50,89,58
472,253,747,237,76,70,84,59
416,278,734,234,59,111,98,68
416,239,800,220,78,73,120,51
428,271,768,241,46,58,111,76
506,224,703,219,101,62,114,69
480,232,695,293,81,47,101,71
476,285,666,269,57,66,88,91
439,275,736,254,61,62,98,74
486,234,739,252,82,50,94,61
458,281,731,212,96,59,93,68
473,259,729,228,79,50,111,70
436,235,813,244,50,50,85,85
462,259,749,210,82,83,91,60
437,248,713,232,77,72,132,87
463,275,727,212,68,61,121,71
467,275,715,221,94,53,94,80
478,246,762,206,67,63,102,75
458,302,720,212,75,67,94,71
448,264,747,246,77,41,108,67
459,282,771,203,64,53,109,57
396,315,756,235,77,52,105,61
402,280,722,237,121,54,111,71
444,245,742,245,78,55,118,70
448,239,744,245,80,79,99,64
418,270,791,227,70,51,109,62
404,311,794,193,74,67,101,54
449,218,773,220,54,79,148,58
442,286,737,213,65,86,99,70
469,257,691,247,58,62,141,72
434,355,612,246,82,63,130,76
461,228,744,254,85,53,100,73
468,239,756,216,83,80,82,75
465,254,694,228,138,60,91,68
