CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
249,129,233,160,48,47,83,51
269,138,219,154,45,43,78,54
246,147,233,155,40,40,83,56
272,141,200,182,45,37,71,52
249,158,208,187,43,40,65,50
253,142,205,167,55,48,79,51
251,140,234,150,55,39,78,53
262,143,214,157,40,48,86,50
280,148,217,160,38,33,77,47
252,134,216,183,48,31,86,50
260,131,212,169,56,37,80,55
266,129,203,175,55,49,83,40
270,137,229,149,46,39,75,55
262,121,242,146,49,46,84,50
252,132,227,173,49,44,74,49
244,137,215,205,37,35,80,47
240,137,232,161,52,42,74,62
262,131,214,156,57,55,77,48
226,164,232,172,58,35,67,46
255,154,223,170,48,41,80,29
260,125,215,166,41,56,91,46
255,141,195,186,57,43,75,48
243,135,227,175,53,43,82,42
251,161,226,160,41,47,77,37
258,143,214,164,48,43,73,57
239,157,235,152,58,46,61,52
262,137,211,153,44,47,91,55
281,130,214,148,46,41,83,57
265,139,211,148,51,44,83,59
255,131,238,181,50,43,48,54
259,115,195,189,61,52,71,58
248,134,230,176,50,44,76,42
260,111,215,178,47,55,81,53
255,133,218,172,50,42,78,52
249,137,230,180,53,41,58,52
264,138,227,145,51,48,78,49
235,135,231,185,59,41,70,44
268,147,201,180,45,35,77,47
263,131,229,153,35,41,99,49
269,138,226,156,45,42,76,48
262,133,191,161,55,47,100,51
274,147,197,168,51,55,64,44
254,148,232,159,49,40,74,44
241,160,211,165,57,43,82,41
249,137,219,179,50,47,73,46
238,141,205,184,51,35,86,60
276,108,218,160,60,49,79,50
263,144,215,160,49,44,76,49
255,139,224,157,48,44,79,54
238,133,217,199,42,46,67,58
280,165,202,161,38,29,74,51
221,137,249,155,55,64,68,51
254,144,213,175,46,49,68,51
290,135,214,162,49,40,67,43
277,138,190,171,47,48,78,51
246,138,224,192,42,36,76,46
258,132,231,166,41,43,75,54
243,133,232,161,56,49,86,40
262,129,221,174,55,41,80,38
267,149,192,171,62,44,69,46
251,146,228,171,34,50,76,44
243,145,215,183,53,37,81,43
256,134,192,181,56,43,88,50
257,135,226,180,57,32,66,47
256,141,215,192,45,37,78,36
251,148,208,149,58,53,84,49
262,154,207,154,39,47,85,52
274,129,227,157,48,34,82,49
235,145,224,183,46,56,73,38
270,137,208,154,50,40,89,52
248,134,207,177,58,39,73,64
265,132,233,159,47,40,76,48
257,144,212,180,51,39,71,46
251,140,218,174,57,41,67,52
225,144,246,173,43,36,79,54
242,143,212,169,62,40,91,41
234,148,239,165,45,40,66,63
249,135,220,191,44,30,77,54
244,134,213,185,42,37,83,62
243,152,230,163,51,46,61,54
258,144,213,153,39,43,100,50
258,137,219,166,60,37,84,39
274,129,213,158,55,43,64,64
245,149,236,175,40,44,69,42
263,150,203,167,38,54,89,36
256,145,218,171,37,47,73,53
263,161,210,161,34,44,74,53
290,154,178,155,53,42,80,48
260,127,234,152,50,41,95,41
270,127,204,175,46,57,76,45
261,145,216,165,43,38,87,45
253,165,191,171,40,50,80,50
272,157,195,166,47,42,74,47
265,131,213,165,58,44,81,43
245,123,227,167,43,45,95,55
239,142,218,179,45,48,83,46
271,131,239,154,43,39,87,36
232,142,231,168,39,51,82,55
232,153,226,186,41,44,78,40
241,163,234,164,37,41,77,43
266,135,212,167,46,48,77,49
277,131,193,173,58,43,72,53
254,142,208,171,56,39,87,43
255,141,219,162,50,43,78,52
238,137,215,173,53,49,80,55
219,137,255,173,42,42,84,48
244,151,216,157,52,50,75,55
244,142,226,186,48,38,64,52
251,136,215,181,49,45,80,43
260,138,232,170,38,42,75,45
229,135,238,172,44,56,78,48
271,150,211,163,36,35,88,46
234,134,225,185,43,44,80,55
249,129,218,177,48,56,79,44
234,146,223,190,43,37,78,49
235,143,234,156,66,45,69,52
259,143,212,166,43,58,72,47
251,110,221,185,56,38,86,53
249,122,213,172,52,60,74,58
267,113,224,166,49,44,83,54
281,139,186,165,50,53,81,45
244,135,245,155,55,44,73,49
259,137,211,159,52,59,80,43
248,146,225,161,50,42,83,45
268,133,219,175,46,34,68,57
264,132,243,152,38,48,75,48
282,127,215,175,46,44,71,40
260,142,219,169,52,46,60,52
240,135,248,167,42,35,83,50
255,146,198,178,51,44,71,57
258,148,196,181,52,37,71,57
280,133,197,164,63,49,75,39
259,157,219,150,48,34,80,53
243,151,213,190,55,36,79,33
259,152,233,154,45,41,70,46
255,140,219,140,57,50,86,53
261,149,222,144,39,41,87,57
260,106,232,189,50,46,74,43
270,125,198,180,52,39,77,59
262,143,214,140,54,48,74,65
265,137,211,167,53,51,63,53
255,146,229,147,57,44,76,46
288,138,185,161,54,48,80,46
255,148,215,166,52,47,67,50
260,134,213,164,43,48,74,64
259,140,219,177,46,41,69,49
257,144,214,166,41,34,89,55
250,140,200,183,56,43,79,49
232,135,243,187,36,40,68,59
243,136,226,165,55,54,81,40
282,146,216,166,44,35,61,50
246,137,200,173,42,67,76,59
239,123,244,176,44,44,76,54
252,134,209,176,53,55,65,56
230,155,232,173,50,32,77,51
240,139,235,167,42,45,74,58
252,120,234,178,47,41,74,54
257,129,233,166,55,36,85,39
244,138,221,174,53,37,77,56
245,141,219,177,53,37,75,53
273,133,206,175,55,41,73,44
244,134,220,183,56,50,80,33
264,138,202,162,55,45,76,58
264,141,208,169,50,35,90,43
257,134,213,170,47,59,69,51
243,137,220,183,48,48,68,53
258,153,215,160,60,42,67,45
253,157,216,158,52,41,70,53
257,129,212,176,47,47,80,52
250,153,232,154,46,45,70,50
252,147,211,165,51,45,85,44
262,116,230,161,49,53,78,51
255,161,213,167,47,27,80,50
242,133,228,190,46,39,80,42
284,123,222,160,63,29,63,56
252,141,217,155,46,50,88,51
270,143,205,173,45,42,80,42
260,152,222,153,43,46,71,53
281,154,196,166,39,44,72,48
256,143,208,167,41,40,86,59
257,149,207,177,57,42,63,48
266,128,240,159,54,42,63,48
237,154,228,169,46,39,71,56
271,143,213,157,41,48,72,55
276,129,201,171,40,49,80,54
268,131,225,153,50,38,83,52
252,147,235,148,44,40,77,57
256,132,196,176,67,45,81,47
245,129,234,176,47,58,66,45
242,138,210,173,45,50,89,53
270,141,212,154,49,46,75,53
263,147,196,188,45,48,59,54
271,149,218,131,50,51,73,57
246,150,222,164,40,53,83,42
254,149,236,160,44,31,77,49
264,120,220,172,61,47,73,43
278,140,191,170,42,41,82,56
244,155,221,180,58,32,69,41
268,146,231,169,41,35,61,49
247,146,213,170,50,38,85,51
250,125,233,174,48,43,75,52
270,133,227,165,40,40,69,56
236,160,218,155,52,45,80,54
278,139,214,180,40,46,81,22
291,104,215,169,47,41,84,49
255,125,220,176,44,43,78,59
249,153,220,158,47,55,71,47
242,135,239,159,46,49,84,46
255,147,206,181,45,49,72,45
251,136,217,169,54,46,78,49
251,149,227,155,40,35,85,58
252,126,212,164,62,44,89,51
271,119,211,182,61,46,72,38
264,125,226,160,42,56,81,46
247,136,241,158,41,53,79,45
265,137,203,179,44,43,78,51
259,135,204,182,53,44,76,47
230,150,222,169,50,44,76,59
251,139,223,169,44,50,78,46
262,152,213,171,45,35,74,48
244,163,230,163,41,40,65,54
292,135,195,153,49,56,73,47
256,139,222,170,46,48,72,47
255,135,224,156,49,49,81,51
262,130,223,153,55,45,73,59
256,135,208,152,51,55,86,57
276,139,218,154,45,38,80,50
262,151,196,165,52,45,82,47
249,132,212,168,48,44,88,59
283,134,213,159,40,50,75,46
256,139,219,168,47,40,79,52
244,141,216,157,50,51,88,53
275,133,220,157,48,42,84,41
253,141,216,174,63,31,71,51
243,152,242,161,42,39,79,42
270,144,210,157,56,40,74,49
256,142,215,169,42,49,77,50
254,140,231,164,49,46,74,42
251,139,235,146,52,41,82,54
259,152,209,159,51,53,75,42
247,152,210,167,48,44,78,54
233,143,218,182,44,61,81,38
256,141,235,157,40,34,84,53
247,135,231,168,35,50,85,49
253,129,217,163,54,54,85,45
238,141,226,169,47,46,79,54
259,126,230,173,46,48,72,46
240,138,208,176,43,48,83,64
270,136,221,164,48,46,77,38
225,146,242,158,54,41,94,40
256,136,200,166,55,46,86,55
283,142,218,141,43,39,93,41
265,131,245,163,29,50,69,48
248,144,193,185,61,49,65,55
242,138,204,189,57,40,84,46
246,143,243,166,45,30,73,54
245,124,217,173,56,46,86,53
235,138,225,180,54,47,64,57
272,140,207,192,38,35,72,44
255,137,210,181,52,37,82,46
261,145,214,178,56,39,60,47
275,113,234,176,41,40,81,40
282,134,208,151,55,38,79,53
263,136,206,165,60,37,77,56
239,155,229,167,44,48,60,58
258,149,203,161,52,54,75,48
237,145,221,169,51,42,77,58
247,144,198,177,42,44,95,53
263,150,220,172,47,33,73,42
240,172,215,172,43,35,77,46
246,149,210,179,48,44,81,43
235,122,237,182,59,47,66,52
266,133,206,181,57,42,66,49
232,150,225,159,71,46,70,47
246,147,214,173,59,48,72,41
271,139,224,161,51,48,53,53
264,134,223,152,35,44,92,56
234,136,220,178,62,50,77,43
240,135,238,172,44,37,86,48
250,132,216,192,37,38,88,47
271,142,203,169,56,53,62,44
249,127,215,193,41,51,79,45
247,129,242,179,41,36,78,48
241,120,234,179,50,60,66,50
253,143,222,154,45,44,86,53
237,143,238,177,49,39,66,51
267,142,220,155,45,46,77,48
261,137,243,168,42,44,59,46
280,127,219,160,47,48,67,52
242,148,213,159,53,39,89,57
241,147,215,162,48,40,96,51
256,155,222,167,50,33,78,39
269,122,219,176,36,50,70,58
