CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
307,152,188,165,32,38,67,50
322,143,181,148,45,45,71,46
345,127,189,146,49,42,63,39
327,134,181,157,48,38,70,45
321,154,202,137,36,39,62,50
312,142,187,154,46,39,71,49
322,134,186,159,51,37,72,39
326,139,186,145,45,40,66,53
334,145,173,149,49,47,63,41
306,149,185,152,42,40,76,50
325,133,200,155,41,41,58,46
340,143,184,141,42,40,62,47
314,147,188,149,49,38,58,57
322,145,189,159,45,40,65,33
331,136,188,162,48,36,62,37
347,129,165,155,48,38,72,47
334,145,179,138,50,44,68,42
313,137,198,154,43,42,64,50
331,141,168,157,53,37,65,47
323,132,196,164,37,45,61,42
333,140,184,155,43,33,66,46
322,140,178,147,51,42,72,48
340,122,196,144,45,34,75,43
321,147,172,145,55,37,74,49
335,139,193,142,37,42,63,48
339,150,177,146,41,42,61,44
345,126,175,145,53,39,72,45
316,152,182,159,42,42,70,37
322,156,183,142,52,41,69,36
334,144,186,155,38,33,72,38
303,140,191,144,60,42,67,52
319,143,189,151,43,38,61,56
323,144,174,144,45,40,63,67
341,139,201,143,44,39,59,33
325,137,183,153,37,36,70,59
320,132,203,151,52,39,64,40
321,139,185,147,61,34,66,46
333,128,191,147,49,35,68,49
317,143,177,159,44,52,65,42
334,139,175,159,46,40,63,44
314,143,189,149,47,41,66,50
336,134,189,147,51,35,64,43
331,144,180,160,42,36,63,43
301,141,190,164,45,40,68,50
321,148,186,159,40,38,64,44
332,142,191,138,48,42,54,52
320,143,194,152,41,38,65,48
337,127,184,159,51,41,63,38
339,136,202,139,40,31,63,50
331,142,176,151,51,41,70,38
345,129,180,149,46,35,68,47
311,148,199,162,38,33,67,42
337,148,179,141,43,34,65,53
310,140,173,154,56,41,68,58
332,124,207,161,41,37,61,37
331,155,186,130,60,37,56,46
330,128,185,150,40,39,67,61
307,165,167,158,58,37,66,42
337,146,184,134,49,41,75,34
325,145,185,154,37,42,62,49
311,146,177,152,56,40,69,48
324,146,178,146,50,42,69,44
325,139,193,142,44,44,70,43
329,139,188,155,34,44,66,45
317,143,205,157,41,41,61,36
335,140,175,166,40,40,67,37
331,141,186,145,54,35,62,46
318,137,189,167,40,40,67,41
327,138,185,165,56,41,57,32
317,155,190,151,36,41,62,50
325,135,184,150,49,35,73,49
331,137,179,154,49,36,70,45
336,148,187,152,43,30,64,41
305,142,203,148,39,39,70,54
327,130,189,147,61,37,60,49
325,134,182,153,56,38,62,49
340,142,171,139,53,41,66,48
316,155,186,141,47,35,68,52
327,137,197,143,46,40,62,48
342,135,178,150,45,45,68,37
324,154,180,144,49,40,68,42
324,132,198,163,34,39,68,43
315,137,196,160,40,42,73,37
326,139,183,154,51,43,70,34
325,151,185,141,50,40,74,33
309,153,195,151,33,40,67,53
323,144,192,146,51,38,67,39
330,143,180,139,56,40,62,48
327,139,198,141,51,40,61,42
318,145,184,160,55,35,69,34
320,142,189,152,39,42,65,52
332,135,191,147,42,39,65,50
317,146,198,151,42,39,63,44
346,142,176,151,43,45,60,36
324,140,179,147,51,41,65,54
345,130,173,152,48,39,72,41
328,138,192,152,45,38,61,45
330,144,180,159,47,36,70,34
343,130,179,146,48,41,62,51
309,147,188,155,49,37,71,46
317,141,206,154,36,33,65,49
317,137,200,142,46,45,66,47
334,139,195,143,43,36,66,44
348,132,188,140,53,37,69,34
332,140,185,143,44,43,62,52
317,150,172,162,49,39,71,40
337,149,184,132,51,40,68,37
324,150,187,149,44,42,67,38
329,142,176,146,53,38,64,53
327,129,192,168,40,42,65,37
338,138,195,150,35,41,65,38
314,134,208,150,45,42,64,42
335,145,195,127,43,43,64,48
331,151,178,142,37,38,69,55
323,141,190,141,46,36,70,53
305,156,186,163,43,37,61,49
320,143,180,160,51,40,64,43
337,138,180,150,45,42,67,42
312,150,177,152,51,45,67,47
332,128,199,162,42,38,64,36
339,135,191,134,60,35,67,39
315,149,171,148,49,46,65,57
331,132,180,168,36,42,69,41
333,128,198,157,41,39,61,43
328,147,179,145,47,36,75,43
317,144,187,146,51,41,68,47
339,146,194,139,40,34,65,44
320,148,194,145,46,42,63,43
320,152,189,150,38,40,61,49
322,140,183,158,44,42,68,42
325,145,174,160,42,46,65,42
330,156,191,141,41,43,62,37
336,140,191,146,45,42,60,42
319,145,186,145,41,41,67,55
334,133,181,147,44,39,68,54
316,165,190,127,47,45,65,46
331,144,174,154,39,40,73,46
306,147,201,156,41,40,68,42
332,141,166,150,52,35,69,55
332,153,168,142,42,43,68,52
330,143,173,153,41,39,73,48
340,122,177,148,50,45,65,53
329,137,193,138,48,44,68,44
327,145,184,151,45,40,64,45
325,144,184,146,52,38,58,54
333,142,170,145,60,38,70,42
326,137,193,145,44,38,64,53
338,135,197,141,42,37,61,50
330,146,178,135,55,41,66,48
320,143,187,160,42,39,64,46
327,141,189,160,45,36,66,37
324,135,176,158,62,31,67,47
324,154,183,141,40,40,67,52
341,132,181,150,48,40,63,46
321,145,190,147,43,45,67,42
323,152,188,138,48,32,68,50
341,137,193,145,35,44,65,39
337,128,193,147,45,37,63,50
312,154,186,154,47,33,69,45
341,137,180,156,41,38,71,37
329,147,188,145,38,34,67,53
308,152,179,140,46,43,66,65
305,161,200,139,40,42,65,48
317,130,176,172,54,45,69,37
313,140,187,158,60,41,66,35
318,148,176,162,50,38,64,44
335,150,167,143,53,40,66,46
331,143,193,156,37,39,64,36
322,140,190,146,46,38,67,51
321,141,169,159,54,43,72,40
324,135,207,139,54,37,66,39
330,126,181,160,51,41,63,47
332,141,175,158,45,35,71,43
320,132,185,166,39,41,65,52
328,138,189,170,44,33,63,36
324,149,189,137,47,41,72,41
314,140,202,156,40,42,66,39
328,130,202,139,48,37,69,47
324,142,169,159,53,42,69,41
339,139,177,138,54,40,64,48
331,141,184,138,47,43,69,47
329,147,175,150,50,36,73,40
331,144,173,147,36,36,61,72
318,128,189,159,55,40,60,51
324,135,179,154,47,34,69,58
329,127,194,150,49,34,64,53
323,142,181,158,48,38,61,50
322,133,196,155,50,39,60,44
343,141,175,141,51,40,65,44
313,159,194,143,44,38,62,47
344,134,197,145,42,35,64,39
330,139,181,135,51,47,61,56
331,157,182,131,48,36,66,49
317,146,188,146,49,38,69,48
342,134,192,141,51,43,65,33
325,154,190,149,40,35,61,45
322,145,183,151,40,46,59,55
323,139,187,154,51,34,69,43
324,132,182,147,50,42,71,52
331,156,178,141,46,40,63,45
334,148,183,137,52,43,68,35
328,129,183,155,51,34,74,46
305,150,177,158,59,34,69,47
325,143,189,153,42,37,67,43
335,143,190,156,32,37,66,41
300,149,187,153,51,40,70,50
327,140,179,149,48,44,70,43
330,144,188,149,38,37,63,51
323,142,192,141,56,41,61,44
332,137,205,145,47,35,56,44
331,140,188,146,42,39,58,56
332,140,178,149,45,40,72,45
320,148,177,154,53,38,71,39
336,146,175,153,44,39,59,47
311,149,178,158,47,43,74,40
322,139,180,159,57,40,62,41
329,134,175,150,46,52,74,40
339,137,175,152,52,33,68,43
356,124,188,147,43,41,64,39
326,129,190,151,51,43,66,44
293,151,196,155,45,47,64,49
337,122,191,164,48,34,58,48
307,162,192,140,43,38,61,57
320,146,180,149,45,39,68,53
318,150,184,139,42,48,67,52
316,143,198,147,50,39,65,42
329,134,192,144,49,40,60,52
340,138,185,147,47,38,67,37
332,135,193,164,45,37,61,34
329,135,189,143,51,46,64,44
306,149,189,146,48,44,64,55
316,141,196,145,54,41,63,43
323,157,181,144,49,38,65,44
328,141,184,159,49,42,63,35
325,151,189,152,39,39,66,39
319,131,191,162,47,41,59,50
316,137,206,149,49,42,55,47
337,139,171,149,52,38,65,49
334,137,190,150,37,43,64,45
316,149,179,154,46,38,72,46
331,146,169,149,50,48,62,45
318,156,176,141,58,40,63,49
343,131,172,145,54,44,65,44
332,154,180,150,43,38,57,46
323,132,180,159,54,41,65,45
303,161,184,159,44,45,66,40
321,138,196,156,51,37,69,31
322,149,176,153,46,40,70,44
306,151,171,161,49,41,73,48
319,145,189,156,40,40,63,48
344,122,185,156,43,45,65,40
318,138,190,147,48,47,69,43
328,134,183,170,40,34,61,50
321,133,181,162,45,43,65,51
328,140,178,161,53,46,63,31
325,143,194,156,36,44,56,45
322,135,183,144,58,45,67,46
319,163,186,132,53,38,62,48
325,143,193,145,51,40,67,37
306,151,181,157,47,42,67,47
306,153,173,164,48,47,64,45
343,136,182,143,47,41,66,42
318,136,191,145,54,38,72,47
335,135,179,159,41,41,65,45
335,152,179,139,47,38,66,43
328,142,178,154,52,42,62,41
326,134,189,162,49,33,64,43
337,136,180,147,49,41,63,46
303,156,194,163,36,36,62,51
331,142,193,144,46,40,63,41
318,146,181,153,54,37,65,46
325,149,186,143,46,44,59,49
341,132,173,158,45,38,68,46
321,145,173,153,51,45,71,42
301,159,183,151,53,49,66,38
330,148,185,154,44,40,67,32
322,147,197,160,39,32,59,44
303,162,177,156,52,39,65,45
309,153,181,156,50,40,64,47
335,143,177,159,40,40,68,39
314,147,184,150,42,47,71,46
311,141,192,146,48,37,69,54
328,147,183,148,45,39,66,44
328,149,184,149,43,40,60,46
333,132,181,155,45,46,66,40
320,144,186,143,45,40,73,48
325,147,185,152,40,36,72,44
321,157,181,138,44,37,78,45
337,127,185,146,52,43,64,46
315,133,194,155,52,36,66,47
327,136,188,164,40,40,59,45
327,144,190,144,48,41,69,38
321,150,196,142,40,39,67,45
331,131,199,145,50,32,64,47
324,143,190,153,33,39,69,48
312,144,167,167,51,48,71,41
312,149,182,163,48,37,70,39
314,143,190,142,41,44,74,50
326,133,189,155,43,36,64,53
334,143,191,141,41,44,63,44
329,144,182,133,52,38,68,55
320,151,193,149,40,41,68,38
324,145,176,159,44,36,56,60
304,154,188,137,55,44,71,47
309,146,190,155,53,40,55,52
321,155,189,149,46,40,64,36
306,138,187,177,43,43,65,40
305,139,193,167,39,40,66,52
328,136,177,150,53,37,63,58
303,138,194,172,44,41,63,45
329,139,185,152,47,34,59,56
326,145,194,139,51,47,61,37
334,137,189,144,51,38,65,42
