CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
644,335,369,284,72,82,137,73
674,358,337,262,71,60,163,73
680,302,366,292,86,84,112,76
610,348,388,256,78,85,119,114
680,321,328,296,93,94,111,76
614,369,358,294,110,73,108,72
633,347,335,294,87,75,148,79
618,345,342,316,101,71,124,82
659,358,349,299,97,72,97,68
651,366,342,295,87,51,116,89
643,343,390,251,95,55,133,88
658,378,320,297,85,80,99,80
622,366,364,318,91,68,95,74
657,338,343,304,101,95,96,65
634,355,382,253,101,89,112,73
653,311,394,302,86,69,105,79
624,373,347,310,74,77,112,80
636,399,361,266,77,57,129,72
665,369,379,243,68,69,127,77
592,417,354,268,96,89,118,64
643,282,405,289,91,80,143,66
673,359,350,284,84,66,84,98
623,347,357,287,97,104,95,87
646,372,361,306,70,81,97,65
629,378,312,275,105,89,133,77
619,380,365,299,79,83,102,70
650,339,362,290,95,71,125,67
612,347,395,267,94,68,123,91
642,387,357,294,74,68,124,52
568,343,366,277,87,109,164,83
683,370,356,273,91,92,78,55
634,340,341,292,97,74,107,113
655,326,339,301,87,89,119,83
678,357,381,276,58,71,99,78
667,375,349,262,100,64,113,67
657,358,370,298,66,87,90,73
680,318,349,267,92,78,123,90
640,345,336,328,78,81,115,74
659,320,360,315,57,91,109,86
683,341,327,281,87,82,116,81
656,364,307,320,74,89,109,79
663,334,323,308,83,73,132,82
654,331,361,313,100,76,85,77
620,359,370,277,101,79,111,81
701,329,341,275,90,83,92,87
653,354,347,286,65,93,126,74
651,339,372,263,97,102,108,65
703,348,327,240,127,67,112,74
632,324,344,308,105,72,133,79
604,369,396,319,74,65,105,66
630,368,391,253,70,93,134,59
668,360,314,296,83,87,106,86
615,342,383,270,76,65,143,103
661,345,337,270,81,96,128,79
638,371,352,306,96,60,99,77
631,344,353,304,98,63,129,76
653,341,364,310,63,57,146,63
659,357,347,303,69,76,109,78
629,383,313,297,75,87,127,86
648,349,386,266,98,71,99,80
667,320,330,301,92,66,158,63
649,356,372,237,84,91,129,79
633,380,365,262,69,100,127,62
675,362,338,234,79,73,147,91
671,366,371,259,58,76,113,84
599,354,351,288,82,118,114,93
609,347,356,299,103,78,115,90
627,336,360,294,87,76,123,95
671,349,350,230,89,105,145,60
638,364,374,295,66,55,119,87
595,352,358,279,82,87,141,104
634,330,376,263,89,97,128,82
679,357,339,272,87,67,121,76
674,341,303,347,82,77,107,66
574,329,424,315,64,68,123,101
615,330,398,293,94,85,109,75
670,315,352,284,65,56,162,94
601,375,375,275,85,76,122,88
628,331,357,309,103,81,108,81
647,335,389,299,73,65,108,83
674,326,343,283,80,89,135,67
