CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
339,179,181,132,40,37,56,36
323,183,185,138,31,32,62,46
328,189,178,132,53,30,53,37
335,176,194,140,36,39,55,25
368,161,164,132,45,40,50,40
306,157,210,149,39,31,57,51
323,195,196,123,44,28,54,37
324,173,178,134,52,42,61,36
302,190,181,146,40,36,61,44
330,178,168,151,31,43,53,46
343,160,190,143,34,30,60,40
345,174,161,149,32,38,66,35
285,191,194,146,42,51,55,36
334,179,183,133,36,41,61,33
326,174,182,140,34,41,70,33
315,176,202,140,38,47,44,38
347,161,187,152,44,39,39,31
332,181,160,144,41,36,67,39
301,190,194,130,32,50,64,39
304,201,176,149,36,23,63,48
334,182,167,134,41,40,64,38
357,173,170,142,41,35,52,30
319,181,180,139,36,37,68,40
344,168,180,141,38,38,53,38
332,193,181,123,43,40,54,34
332,200,192,131,35,34,43,33
346,159,156,141,44,38,70,46
338,177,182,132,41,38,56,36
328,161,192,155,45,41,52,26
321,178,186,123,42,45,55,50
305,180,199,134,43,32,72,35
303,199,190,131,44,32,70,31
321,193,184,127,41,33,57,44
317,192,171,135,30,35,72,48
340,176,181,132,43,38,55,35
328,181,187,141,42,40,39,42
306,184,174,155,48,39,50,44
338,184,157,144,53,25,61,38
346,185,147,147,37,45,57,36
343,170,188,125,44,45,45,40
314,183,179,152,46,40,53,33
326,163,172,146,43,33,69,48
343,184,183,123,41,45,46,35
331,178,159,152,54,32,48,46
330,170,170,148,46,37,59,40
324,179,184,146,42,26,57,42
327,188,186,150,33,21,52,43
307,196,167,151,47,32,63,37
332,169,176,144,47,46,47,39
344,162,179,141,37,30,65,42
332,172,173,148,46,41,63,25
363,160,171,133,41,35,62,35
341,173,182,132,40,41,47,44
308,178,181,152,43,39,63,36
323,186,173,149,42,43,50,34
335,174,180,149,42,31,59,30
348,184,158,140,41,43,56,30
320,174,158,145,42,38,72,51
340,174,174,128,46,44,63,31
297,208,187,142,38,37,57,34
321,176,183,153,34,42,59,32
346,178,187,136,45,23,65,20
344,196,169,123,42,39,51,36
323,201,152,129,46,52,61,36
323,176,170,150,48,36,55,42
320,176,187,153,40,31,65,28
310,170,175,155,50,35,67,38
314,190,181,142,42,37,54,40
363,172,166,118,55,31,55,40
330,158,188,132,37,44,66,45
337,187,179,149,29,44,48,27
316,191,184,132,47,29,57,44
320,191,179,136,44,38,49,43
342,177,174,134,34,31,63,45
341,185,175,130,36,37,52,44
333,173,173,162,40,35,47,37
284,208,170,141,42,41,75,39
325,160,182,155,44,44,45,45
349,146,202,139,43,32,49,40
314,165,181,144,46,43,61,46
302,185,190,143,41,38,60,41
348,175,187,126,45,31,52,36
308,176,185,153,38,41,66,33
354,170,177,124,43,36,53,43
324,189,169,146,39,31,58,44
330,166,198,120,38,41,63,44
328,186,161,150,38,35,62,40
316,175,180,140,40,41,69,39
318,204,196,112,38,30,59,43
357,170,153,128,53,48,51,40
325,203,165,149,43,31,42,42
330,190,170,135,40,39,58,38
326,188,169,128,30,45,77,37
311,196,165,135,49,35,59,50
331,188,190,128,40,41,51,31
317,188,180,147,51,25,56,36
324,198,175,135,38,36,51,43
296,201,178,148,39,31,59,48
308,194,178,155,36,37,55,37
288,182,187,149,47,34,68,45
332,190,171,148,39,43,38,39
357,168,152,146,36,38,66,37
357,167,171,141,49,37,46,32
328,167,183,134,56,40,54,38
330,187,178,150,24,35,53,43
323,179,172,148,41,42,53,42
323,164,175,152,29,59,58,40
329,179,171,131,34,41,69,46
329,176,153,160,34,46,58,44
333,173,206,118,42,31,47,50
357,184,155,133,34,43,50,44
296,197,184,135,41,40,68,39
301,188,190,151,35,37,63,35
322,176,160,171,45,37,54,35
349,163,165,148,35,35,67,38
325,191,163,153,48,32,50,38
318,194,175,126,41,34,57,55
350,176,178,129,36,36,67,28
344,207,152,129,39,38,48,43
326,182,195,137,29,36,53,42
312,186,185,132,54,42,58,31
328,182,178,142,42,27,63,38
337,171,208,127,39,25,53,40
