CDU/CSU,SPD,AfD,B90,FDP,LINKE,Sonstige,BSW
334,143,189,171,41,38,60,23
325,135,186,165,43,41,66,38
327,144,180,158,43,42,70,37
322,142,190,152,40,43,64,47
332,142,204,157,34,37,55,39
324,138,178,159,48,43,63,47
328,140,200,141,53,30,66,42
327,157,188,137,48,36,62,46
331,148,195,151,32,40,64,38
327,142,189,148,45,38,61,49
331,150,180,156,43,42,64,35
319,142,169,164,55,43,65,44
316,149,186,155,42,42,65,45
328,143,196,165,29,40,60,38
338,130,177,151,55,44,63,43
328,144,177,146,57,38,61,48
341,146,179,138,46,34,71,45
312,145,185,170,44,38,62,44
328,151,186,150,44,38,67,36
334,134,190,154,41,39,68,40
326,138,179,151,47,35,76,49
330,142,181,160,47,38,67,36
332,134,183,150,54,42,64,42
326,140,167,154,51,47,69,45
311,146,178,159,54,49,63,41
309,146,192,152,43,45,67,45
346,139,173,132,50,44,69,47
326,137,181,151,55,43,61,47
336,139,200,133,50,42,56,45
317,152,180,152,44,38,67,50
331,137,203,151,36,42,56,44
333,144,173,149,43,45,70,44
355,128,204,138,38,39,55,44
322,132,190,164,52,42,56,41
326,141,199,155,45,40,58,36
315,143,201,144,41,41,58,58
331,143,172,150,55,42,68,39
324,139,179,171,39,41,56,51
336,147,186,150,35,43,69,34
328,142,176,164,44,44,57,45
312,151,182,168,39,36,63,48
325,142,187,154,41,42,63,45
341,130,173,163,36,42,73,41
339,140,190,149,51,39,55,36
307,149,188,153,45,41,66,51
316,157,178,144,38,45,72,50
319,147,199,150,50,34,54,47
317,132,185,160,41,42,69,53
339,125,189,161,56,39,54,36
315,147,191,154,48,42,62,41
324,154,197,146,38,44,60,36
317,142,188,156,45,40,66,46
308,135,209,154,41,42,68,42
331,136,194,157,42,40,69,31
326,141,175,167,40,40,66,45
343,138,166,154,42,39,71,46
340,149,163,140,53,45,69,42
324,141,196,152,39,45,55,48
337,137,191,137,47,45,64,41
320,142,194,132,52,43,76,41
325,140,173,163,49,36,62,52
326,141,189,148,51,43,59,44
343,131,186,150,39,47,56,46
337,133,191,146,52,44,59,38
328,129,185,169,46,36,63,42
345,139,192,143,34,34,59,54
318,137,190,168,42,41,71,32
318,144,178,163,49,44,70,34
329,148,174,143,49,35,67,56
313,154,198,151,48,39,61,36
328,138,192,160,40,40,56,46
325,141,190,153,41,44,68,39
310,136,184,162,51,38,69,51
309,139,191,166,46,46,65,38
322,143,195,158,32,37,75,38
337,149,197,135,32,36,66,49
343,147,170,143,49,45,69,34
327,146,184,143,51,34,71,44
322,148,195,162,42,33,64,32
326,139,182,161,40,39,65,48
323,153,195,142,40,41,62,45
338,132,193,157,44,37,64,34
323,141,193,144,40,35,68,56
332,126,179,153,53,49,65,42
304,144,188,169,42,42,70,41
336,140,183,135,53,46,63,45
324,147,179,162,51,40,64,33
352,138,177,157,38,38,56,43
335,139,193,157,47,40,54,34
333,145,188,149,44,35,68,37
321,139,168,158,52,42,70,51
320,137,188,169,41,45,63,37
329,137,200,149,43,36,62,45
336,138,193,141,49,47,64,32
336,144,174,142,50,38,71,45
314,140,188,155,49,40,70,44
322,150,185,146,55,41,62,39
333,138,181,148,44,44,69,42
347,131,176,153,48,40,67,37
329,143,187,153,54,38,60,37
330,143,174,163,52,39,56,44
313,152,187,165,44,39,60,41
335,146,171,158,36,38,62,54
320,141,184,156,57,37,60,44
312,132,186,175,40,46,64,44
328,140,180,152,57,38,78,28
325,140,182,171,44,36,67,35
347,132,178,163,41,43,68,28
337,142,177,135,56,40,70,42
317,141,176,175,46,34,67,44
319,143,187,159,38,47,62,46
323,151,188,152,45,35,55,52
326,133,180,162,48,40,68,43
342,141,200,126,54,38,57,42
324,148,177,152,44,42,74,38
325,135,178,152,56,39,72,44
335,136,190,147,46,38,64,44
325,129,192,160,45,32,70,47
331,134,198,148,48,37,58,46
311,139,198,166,50,41,62,33
342,132,175,141,56,41,65,48
327,147,188,156,41,45,66,29
316,138,197,149,50,40,67,44
315,146,183,158,48,46,68,37
317,136,187,160,47,44,60,49
341,144,172,143,42,39,77,41
312,144,195,152,48,37,59,52
323,142,187,155,50,35,64,44
323,145,193,150,36,43,70,40
327,140,206,152,36,41,58,40
316,149,192,152,51,43,62,36
318,142,211,134,43,35,69,49
335,142,182,150,41,36,58,56
338,135,181,141,55,43,70,37
341,149,181,154,33,41,59,43
339,139,203,133,49,43,59,35
319,146,190,143,59,42,58,43
338,142,178,146,46,40,54,55
311,154,190,148,54,43,59,40
311,147,189,163,41,43,64,43
318,142,197,149,52,45,58,38
313,146,198,147,47,47,64,38
334,142,184,147,37,40,71,44
323,152,181,151,52,42,56,44
337,143,175,145,42,41,65,53
335,142,183,147,45,46,62,39
317,138,181,156,49,41,69,49
316,138,193,156,40,46,70,41
308,151,189,163,36,42,64,46
320,137,177,163,39,36,70,57
325,146,185,144,50,41,64,45
324,146,183,147,54,39,60,47
326,144,194,149,45,36,68,39
314,137,199,162,48,36,57,47
306,143,174,162,53,46,62,54
320,141,196,158,34,41,63,46
336,138,175,154,41,41,65,50
327,151,188,146,52,41,68,26
338,141,175,133,47,46,69,52
341,138,171,147,53,35,66,49
324,142,179,154,44,42,68,47
328,141,177,149,43,42,68,52
